;company;industry;symbol;category;market_cap;current_value;high_52week;low_52week;book_value;price_earnings;dividend_yield;roce;roe;sales_growth_3yr
396;MMTC Ltd.;SERVICES;MMTC;Nifty Smallcap 250;4440.0;29.6;67.77;24.05;9.66;94.49;0.68;4.42;3.84;-3.46
397;MOIL Ltd.;METALS;MOIL;Nifty Smallcap 250;4512.0;175.15;276.75;154.1;113.69;10.02;1.71;23.12;15.06;16.95
398;Magma Fincorp Ltd.;FINANCIAL SERVICES;MAGMA;Nifty Smallcap 250;2910.0;108.05;193.5;94.45;81.56;13.83;0.65;9.84;9.5;-0.6
399;Mahindra Holidays & Resorts India Ltd.;SERVICES;MHRIL;Nifty Smallcap 250;2959.0;221.55;389.0;191.25;19.05;30.04;1.79;30.58;18.73;10.95
400;Mahindra Logistics Ltd.;SERVICES;MAHLOG;Nifty Smallcap 250;3824.0;537.45;652.95;405.0;63.05;50.1;0.28;25.47;16.21;19.58
401;Manpasand Beverages Ltd.;CONSUMER GOODS;MANPASAND;Nifty Smallcap 250;1081.0;94.4;498.85;78.6;112.21;10.86;0.53;8.91;7.71;38.15
402;Max India Ltd.;HEALTHCARE SERVICES;MAXINDIA;Nifty Smallcap 250;1864.0;69.45;142.75;65.0;65.12;467.22;0.0;0.86;0.38;
403;McLeod Russel India Ltd.;CONSUMER GOODS;MCLEODRUSS;Nifty Smallcap 250;1455.0;132.95;248.3;126.0;165.45;20.66;0.38;11.31;4.95;4.76
404;Merck Ltd.;PHARMA;MERCK;Nifty Smallcap 250;5147.0;3101.0;3549.0;1041.25;465.67;36.47;0.48;19.38;12.04;8.37
405;Minda Corporation Ltd.;AUTOMOBILE;MINDACORP;Nifty Smallcap 250;3054.0;134.4;229.0;106.0;36.62;32.18;0.41;16.33;16.18;12.87
406;Minda Industries Ltd.;AUTOMOBILE;MINDAIND;Nifty Smallcap 250;8884.0;338.8;455.0;282.0;36.99;63.68;0.27;20.01;17.72;10.51
407;Monsanto India Ltd.;FERTILISERS & PESTICIDES;MONSANTO;Nifty Smallcap 250;4405.0;2552.0;3358.0;2401.0;402.2;21.32;1.18;29.56;28.28;6.81
408;NCC Ltd.;CONSTRUCTION;NCC;Nifty Smallcap 250;4787.0;79.7;141.85;63.1;70.62;11.22;1.25;16.17;8.98;-3.06
409;NESCO Ltd.;SERVICES;NESCO;Nifty Smallcap 250;3082.0;437.4;647.2;405.0;143.16;17.99;0.53;25.97;19.07;16.02
